Year,Rank,Song,Artist,gender
2005-01-01,25,lovers  friends,lil jon featuring usher and ludacris,
2005-01-01,26,soldier,destinys child featuring ti and lil wayne,
2005-01-01,27,breakaway,kelly clarkson,female
2005-01-01,28,switch,will smith,male
2005-01-01,29,let me hold you,bow wow featuring omarion,
2005-01-01,30,like you,bow wow featuring ciara,
2005-01-01,31,rich girl,gwen stefani featuring eve,
2005-01-01,32,my humps,the black eyed peas,
2005-01-01,33,obsession no es amor,frankie j featuring baby bash,
2005-01-01,34,caught up,usher,male
2005-01-01,35,listen to your heart,dht featuring edmee,
2005-01-01,36,scars,papa roach,
2005-01-01,37,feel good inc,gorillaz,
2005-01-01,38,let me go,3 doors down,
2005-01-01,39,holiday,green day,
2005-01-01,40,sugar were goin down,fall out boy,
2005-01-01,41,grind with me,pretty ricky,
2005-01-01,42,run it,chris brown featuring juelz santana,
2005-01-01,43,photograph,nickelback,
2005-01-01,44,lonely,akon,male
2005-01-01,45,collide,howie day,male
2005-01-01,46,wake me up when september ends,green day,
2005-01-01,47,slow down,bobby valentino,
2005-01-01,48,over and over,nelly featuring tim mcgraw,
2005-01-01,49,some cut,trillville featuring cutty,
2005-01-01,50,get it poppin,fat joe featuring nelly,
2005-01-01,51,play,david banner,male
2005-01-01,52,soul survivor,young jeezy featuring akon,
2005-01-01,53,pimpin all over the world,ludacris featuring bobby valentino,
2005-01-01,54,my boo,usher and alicia keys,
2005-01-01,55,sugar gimme some,trick daddy featuring ludacris lil kim and cee lo green,
2005-01-01,56,karma,alicia keys,female
2005-01-01,57,speed of sound,coldplay,
2005-01-01,58,i dont want to be,gavin degraw,male
2005-01-01,59,mockingbird,eminem,male
2005-01-01,60,la tortura,shakira featuring alejandro sanz,
2005-01-01,61,she will be loved,maroon 5,
2005-01-01,62,baby im back,baby bash featuring akon,
2005-01-01,63,wait the whisper song,ying yang twins,male
2005-01-01,64,incomplete,backstreet boys,
2005-01-01,65,bring em out,ti,male
2005-01-01,66,cater 2 u,destinys child,
2005-01-01,67,1 thing,amerie,female
2005-01-01,68,best of you,foo fighters,
2005-01-01,69,its like that,mariah carey,female
2005-01-01,70,goin crazy,natalie,female
2005-01-01,71,inside your heaven,carrie underwood,female
2005-01-01,72,because of you,kelly clarkson,female
2005-01-01,73,truth is,fantasia,
2005-01-01,74,your body,pretty ricky,
2005-01-01,75,beautiful soul,jesse mccartney,male
2005-01-01,76,cool,gwen stefani,female
2005-01-01,77,get back,ludacris,male
2005-01-01,78,outta control,50 cent featuring mobb deep,
2005-01-01,79,u dont know me,ti,male
2005-01-01,80,these words,natasha bedingfield,female
2005-01-01,81,dont lie,the black eyed peas,
2005-01-01,82,get right,jennifer lopez,female
2005-01-01,83,daughters,john mayer,male
2005-01-01,84,as good as i once was,toby keith,male
2005-01-01,85,girlfight,brooke valentine featuring lil jon and big boi,
2005-01-01,86,lose my breath,destinys child,
2005-01-01,87,ordinary people,john legend,male
2005-01-01,88,we be burnin,sean paul,
2005-01-01,89,just the girl,the click five,
2005-01-01,90,TRUE,ryan cabrera,male
2005-01-01,91,o,omarion,male
2005-01-01,92,back then,mike jones,male
2005-01-01,93,numbencore,jayz and linkin park,
2005-01-01,94,wonderful,ja rule featuring r kelly and ashanti,
2005-01-01,95,im sprung,tpain,male
2005-01-01,96,chariot,gavin degraw,male
2005-01-01,97,u already know,112 featuring foxy brown,
2005-01-01,98,mississippi girl,faith hill,female
2005-01-01,99,number one spot,ludacris,male
2005-01-01,100,give me that,webbie featuring bun b,
2006-01-01,1,bad day,daniel powter,male
2006-01-01,2,temperature,sean paul,
2006-01-01,3,promiscuous,nelly furtado featuring timbaland,
2006-01-01,4,youre beautiful,james blunt,male
2006-01-01,5,hips dont lie,shakira featuring wyclef jean,
2006-01-01,6,unwritten,natasha bedingfield,female
2006-01-01,7,crazy,gnarls barkley,
2006-01-01,8,ridin,chamillionaire featuring krayzie bone,
2006-01-01,9,sexyback,justin timberlake featuring timbaland,
2006-01-01,10,check on it,beyonce featuring slim thug,
2006-01-01,11,be without you,mary j blige,female
2006-01-01,12,grillz,nelly paul wall and ali  gipp,
2006-01-01,13,over my head cable car,the fray,
2006-01-01,14,me  u,cassie,
2006-01-01,15,buttons,pussycat dolls featuring snoop dogg,
2006-01-01,16,run it,chris brown featuring juelz santana,
2006-01-01,17,so sick,neyo,male
2006-01-01,18,its goin down,yung joc featuring nitti,
2006-01-01,19,sos,rihanna,female
2006-01-01,20,i write sins not tragedies,panic at the disco,
2006-01-01,21,move along,the allamerican rejects,
2006-01-01,22,london bridge,fergie,female
2006-01-01,23,dani california,red hot chili peppers,
2006-01-01,24,snap yo fingers,lil jon featuring e40 and sean paul,
2006-01-01,25,lean wit it rock wit it,dem franchize boyz,
2006-01-01,26,what hurts the most,rascal flatts,
2006-01-01,27,how to save a life,the fray,
2006-01-01,28,unfaithful,rihanna,female
2006-01-01,29,chasing cars,snow patrol,
2006-01-01,30,lips of an angel,hinder,
2006-01-01,31,everytime we touch,cascada,
2006-01-01,32,aint no other man,christina aguilera,female
2006-01-01,33,dance dance,fall out boy,
2006-01-01,34,gold digger,kanye west featuring jamie foxx,
2006-01-01,35,money maker,ludacris featuring pharrell,
2006-01-01,36,ms new booty,bubba sparxxx featuring ying yang twins,
2006-01-01,37,when you gonna give it up to me,sean paul featuring keyshia cole,
2006-01-01,38,photograph,nickelback,
2006-01-01,39,because of you,kelly clarkson,female
2006-01-01,40,stickwitu,pussycat dolls,
2006-01-01,41,im n luv wit a stripper,tpain featuring mike jones,
2006-01-01,42,my humps,the black eyed peas,
2006-01-01,43,whered you go,fort minor featuring holly brook and jonah matranga,
2006-01-01,44,yo excuse me miss,chris brown,male
2006-01-01,45,walk away,kelly clarkson,female
2006-01-01,46,laffy taffy,d4l,
2006-01-01,47,what you know,ti,male
2006-01-01,48,dirty little secret,the allamerican rejects,
2006-01-01,49,savin me,nickelback,
2006-01-01,50,dont forget about us,mariah carey,female
2006-01-01,51,sexy love,neyo,male
2006-01-01,52,u and dat,e40 featuring tpain and kandi girl,
2006-01-01,53,far away,nickelback,
2006-01-01,54,whats left of me,nick lachey,male
2006-01-01,55,so what,field mob featuring ciara,
2006-01-01,56,do it to it,cherish featuring sean p,
2006-01-01,57,black horse and the cherry tree,kt tunstall,female
2006-01-01,58,there it go the whistle song,juelz santana,male
2006-01-01,59,shoulder lean,young dro featuring ti,
2006-01-01,60,unpredictable,jamie foxx featuring ludacris,
2006-01-01,61,my love,justin timberlake featuring ti,
2006-01-01,62,shake that,eminem featuring nate dogg,
2006-01-01,63,pullin me back,chingy featuring tyrese,
2006-01-01,64,bossy,kelis featuring too short,
2006-01-01,65,chain hang low,jibbs,male
2006-01-01,66,smack that,akon featuring eminem,
2006-01-01,67,one wish,ray j,male
2006-01-01,68,sugar were goin down,fall out boy,
2006-01-01,69,gimme that,chris brown featuring lil wayne,
2006-01-01,70,i know you see it,yung joc,male
2006-01-01,71,who says you cant go home,bon jovi featuring jennifer nettles,
2006-01-01,72,too little too late,jojo,female
2006-01-01,73,touch it,busta rhymes,male
2006-01-01,74,rompe,daddy yankee,
2006-01-01,75,dej`a vu,beyonce featuring jayz,
2006-01-01,76,life is a highway,rascal flatts,
2006-01-01,77,call me when youre sober,evanescence,
2006-01-01,78,jesus take the wheel,carrie underwood,female
2006-01-01,79,show stopper,danity kane featuring yung joc,
2006-01-01,80,get up,ciara featuring chamillionaire,
2006-01-01,81,we be burnin,sean paul,
2006-01-01,82,hate me,blue october,
2006-01-01,83,you and me,lifehouse,
2006-01-01,84,beep,pussycat dolls featuring william,
2006-01-01,85,i think they like me,dem franchize boyz featuring jermaine dupri da brat and bow wow,
2006-01-01,86,say goodbye,chris brown,male
2006-01-01,87,waiting on the world to change,john mayer,male
2006-01-01,88,soul survivor,young jeezy featuring akon,
2006-01-01,89,pump it,the black eyed peas,
2006-01-01,90,when im gone,eminem,male
2006-01-01,91,hung up,madonna,female
2006-01-01,92,stay fly,three 6 mafia featuring young buck and 8ball  mjg,
2006-01-01,93,love,keyshia cole,female
2006-01-01,94,when youre mad,neyo,male
2006-01-01,95,why you wanna,ti,male
2006-01-01,96,stupid girls,pink,female
2006-01-01,97,feel good inc,gorillaz,
2006-01-01,98,im sprung,tpain,male
2006-01-01,99,do i make you proud,taylor hicks,male
2006-01-01,100,for you i will confidence,teddy geiger,male
2007-01-01,1,irreplaceable,beyonce,female
2007-01-01,2,umbrella,rihanna featuring jayz,
2007-01-01,3,the sweet escape,gwen stefani featuring akon,
2007-01-01,4,big girls dont cry,fergie,female
2007-01-01,5,buy u a drank shawty snappin,tpain featuring yung joc,
2007-01-01,6,before he cheats,carrie underwood,female
2007-01-01,7,hey there delilah,plain white ts,
2007-01-01,8,i wanna love you,akon featuring snoop dogg,
2007-01-01,9,say it right,nelly furtado,female
2007-01-01,10,glamorous,fergie featuring ludacris,
2007-01-01,11,dont matter,akon,male
2007-01-01,12,girlfriend,avril lavigne,female
2007-01-01,13,makes me wonder,maroon 5,
2007-01-01,14,party like a rockstar,shop boyz,
2007-01-01,15,smack that,akon featuring eminem,
2007-01-01,16,this is why im hot,mims,male
2007-01-01,17,its not over,daughtry,
2007-01-01,18,the way i are,timbaland featuring keri hilson,
2007-01-01,19,fergalicious,fergie featuring william,
2007-01-01,20,crank that soulja boy,soulja boy tell em,
2007-01-01,21,give it to me,timbaland featuring nelly furtado and justin timberlake,
2007-01-01,22,what goes around comes around,justin timberlake,male
2007-01-01,23,cupids chokehold,gym class heroes featuring patrick stump,
2007-01-01,24,how to save a life,the fray,
2007-01-01,25,home,daughtry,
2007-01-01,26,my love,justin timberlake featuring ti,
2007-01-01,27,stronger,kanye west,male
2007-01-01,28,we fly high,jim jones,male
2007-01-01,29,u  ur hand,pink,female
2007-01-01,30,walk it out,unk,male
2007-01-01,31,beautiful girls,sean kingston,male
2007-01-01,32,this aint a scene its an arms race,fall out boy,
2007-01-01,33,bartender,tpain featuring akon,
2007-01-01,34,pop lock  drop it,huey,male
2007-01-01,35,runaway love,ludacris featuring mary j blige,
2007-01-01,36,rockstar,nickelback,
2007-01-01,37,thnks fr th mmrs,fall out boy,
2007-01-01,38,what ive done,linkin park,
2007-01-01,39,summer love,justin timberlake,male
2007-01-01,40,you,lloyd featuring lil wayne,
2007-01-01,41,wait for you,elliott yamin,male
2007-01-01,42,last night,diddy featuring keyshia cole,
2007-01-01,43,make it rain,fat joe featuring lil wayne,
2007-01-01,44,make me better,fabolous featuring neyo,
2007-01-01,45,ice box,omarion featuring timbaland,
2007-01-01,46,lips of an angel,hinder,
2007-01-01,47,waiting on the world to change,john mayer,male
2007-01-01,48,lost without u,robin thicke,male
2007-01-01,49,im a flirt,r kelly featuring ti and tpain,
2007-01-01,50,if everyone cared,nickelback,
2007-01-01,51,get it shawty,lloyd,male
2007-01-01,52,face down,the red jumpsuit apparatus,
2007-01-01,53,the way i live,baby boy da prince,male
2007-01-01,54,shortie like mine,bow wow featuring chris brown and johnta austin,
2007-01-01,55,it ends tonight,the allamerican rejects,
2007-01-01,56,a bay bay,hurricane chris,male
2007-01-01,57,because of you,neyo,male
2007-01-01,58,i tried,bone thugsnharmony featuring akon,
2007-01-01,59,welcome to the black parade,my chemical romance,
2007-01-01,60,shawty,plies featuring tpain,
2007-01-01,61,chasing cars,snow patrol,
2007-01-01,62,beautiful liar,beyonce featuring shakira,
2007-01-01,63,sexyback,justin timberlake,male
2007-01-01,64,keep holding on,avril lavigne,female
2007-01-01,65,let it go,keyshia cole featuring missy elliott and lil kim,
2007-01-01,66,apologize,timbaland featuring onerepublic,
2007-01-01,67,bubbly,colbie caillat,female
2007-01-01,68,like a boy,ciara,female
2007-01-01,69,who knew,pink,female
2007-01-01,70,never again,kelly clarkson,female
2007-01-01,71,promise,ciara,female
2007-01-01,72,bed,j holiday,male
2007-01-01,73,throw some ds,rich boy featuring polow da don,
2007-01-01,74,rehab,amy winehouse,female
2007-01-01,75,big shit poppin do it,ti,male
2007-01-01,76,no one,alicia keys,female
2007-01-01,77,the great escape,boys like girls,
2007-01-01,78,2 step,unk,male
2007-01-01,79,walk away remember me,paula deanda featuring the dey,
2007-01-01,80,go getta,young jeezy featuring r kelly,
2007-01-01,81,here in your arms,hellogoodbye,
2007-01-01,82,on the hotline,pretty ricky,
2007-01-01,83,wind it up,gwen stefani,female
2007-01-01,84,cyclone,baby bash featuring tpain,
2007-01-01,85,break it off,rihanna featuring sean paul,
2007-01-01,86,first time,lifehouse,
2007-01-01,87,ayo technology,50 cent featuring justin timberlake and timbaland,
2007-01-01,88,outta my system,bow wow featuring tpain and johnta austin,
2007-01-01,89,teardrops on my guitar,taylor swift,female
2007-01-01,90,shut up and drive,rihanna,female
2007-01-01,91,snow hey oh,red hot chili peppers,
2007-01-01,92,money maker,ludacris featuring pharrell,
2007-01-01,93,kiss kiss,chris brown featuring tpain,
2007-01-01,94,far away,nickelback,
2007-01-01,95,rock yo hips,crime mob and lil scrappy,
2007-01-01,96,lovestoned,justin timberlake,male
2007-01-01,97,better than me,hinder,
2007-01-01,98,paralyzer,finger eleven,
2007-01-01,99,thats that,snoop dogg featuring r kelly,
2007-01-01,100,same girl,r kelly featuring usher,
2008-01-01,1,low,flo rida featuring tpain,
2008-01-01,2,bleeding love,leona lewis,female
2008-01-01,3,no one,alicia keys,female
2008-01-01,4,lollipop,lil wayne featuring static major,
2008-01-01,5,apologize,timbaland featuring onerepublic,
2008-01-01,6,no air,jordin sparks and chris brown,
2008-01-01,7,love song,sara bareilles,female
2008-01-01,8,love in this club,usher featuring young jeezy,
2008-01-01,9,with you,chris brown,male
2008-01-01,10,forever,chris brown,male
2008-01-01,11,sexy can i,ray j featuring yung berg,
2008-01-01,12,take a bow,rihanna,female
2008-01-01,13,viva la vida,coldplay,
2008-01-01,14,i kissed a girl,katy perry,female
2008-01-01,15,whatever you like,ti,male
2008-01-01,16,disturbia,rihanna,female
2008-01-01,17,dont stop the music,rihanna,female
2008-01-01,18,pocketful of sunshine,natasha bedingfield,female
2008-01-01,19,kiss kiss,chris brown featuring tpain,
2008-01-01,20,closer,neyo,male
2008-01-01,21,bubbly,colbie caillat,female
2008-01-01,22,touch my body,mariah carey,female
2008-01-01,23,4 minutes,madonna featuring justin timberlake and timbaland,
2008-01-01,24,so what,pink,female
2008-01-01,25,paralyzer,finger eleven,
2008-01-01,26,clumsy,fergie,female
2008-01-01,27,im yours,jason mraz,male
2008-01-01,28,leavin,jesse mccartney,male
2008-01-01,29,dangerous,kardinal offishall featuring akon,
2008-01-01,30,tattoo,jordin sparks,female
2008-01-01,31,see you again,miley cyrus,female
2008-01-01,32,shake it,metro station,
2008-01-01,33,stop and stare,onerepublic,
2008-01-01,34,take you there,sean kingston,male
2008-01-01,35,paper planes,mia,female
2008-01-01,36,hot n cold,katy perry,female
2008-01-01,37,live your life,ti featuring rihanna,
2008-01-01,38,bust it baby part 2,plies featuring neyo,
2008-01-01,39,american boy,estelle featuring kanye west,
2008-01-01,40,got money,lil wayne featuring tpain,
2008-01-01,41,our song,taylor swift,female
2008-01-01,42,damaged,danity kane,
2008-01-01,43,a milli,lil wayne,male
2008-01-01,44,sorry,buckcherry,
2008-01-01,45,independent,webbie featuring lil boosie and lil phat,
2008-01-01,46,cant believe it,tpain featuring lil wayne,
2008-01-01,47,like youll never see me again,alicia keys,female
2008-01-01,48,teardrops on my guitar,taylor swift,female
2008-01-01,49,when i grow up,pussycat dolls,
2008-01-01,50,sexual eruption,snoop dogg,male
2008-01-01,51,what you got,colby odonis featuring akon,
2008-01-01,52,its not my time,3 doors down,
2008-01-01,53,better in time,leona lewis,female
2008-01-01,54,crank that soulja boy,soulja boy tell em,
2008-01-01,55,shadow of the day,linkin park,
2008-01-01,56,sweetest girl dollar bill,wyclef jean featuring akon lil wayne and niia,
2008-01-01,57,miss independent,neyo,male
2008-01-01,58,fall for you,secondhand serenade,
2008-01-01,59,in the ayer,flo rida featuring william,
2008-01-01,60,say,john mayer,male
2008-01-01,61,one step at a time,jordin sparks,female
2008-01-01,62,hate that i love you,rihanna featuring neyo,
2008-01-01,63,superstar,lupe fiasco featuring matthew santos,
2008-01-01,64,suffocate,j holiday,male
2008-01-01,65,let it rock,kevin rudolf featuring lil wayne,
2008-01-01,66,get like me,david banner featuring chris brown,
2008-01-01,67,realize,colbie caillat,female
2008-01-01,68,put on,young jeezy featuring kanye west,
2008-01-01,69,the time of my life,david cook,male
2008-01-01,70,lolli lolli pop that body,three 6 mafia,
2008-01-01,71,cyclone,baby bash featuring tpain,
2008-01-01,72,love like this,natasha bedingfield featuring sean kingston,
2008-01-01,73,burnin up,jonas brothers featuring big rob,
2008-01-01,74,love lockdown,kanye west,male
2008-01-01,75,i luv your girl,thedream,male
2008-01-01,76,crush,david archuleta,male
2008-01-01,77,hypnotized,plies featuring akon,
2008-01-01,78,big girls dont cry,fergie,female
2008-01-01,79,good life,kanye west featuring tpain,
2008-01-01,80,womanizer,britney spears,female
2008-01-01,81,love story,taylor swift,female
2008-01-01,82,just fine,mary j blige,female
2008-01-01,83,piece of me,britney spears,female
2008-01-01,84,the boss,rick ross featuring tpain,
2008-01-01,85,all summer long,kid rock,male
2008-01-01,86,cant help but wait,trey songz,male
2008-01-01,87,in love with a girl,gavin degraw,male
2008-01-01,88,my life,the game featuring lil wayne,
2008-01-01,89,i remember,keyshia cole,female
2008-01-01,90,flashing lights,kanye west featuring dwele,
2008-01-01,91,mrs officer,lil wayne featuring bobby valentino,
2008-01-01,92,7 things,miley cyrus,female
2008-01-01,93,youre gonna miss this,trace adkins,male
2008-01-01,94,love remains the same,gavin rossdale,male
2008-01-01,95,feels like tonight,daughtry,
2008-01-01,96,the way i are,timbaland featuring keri hilson,
2008-01-01,97,addicted,saving abel,
2008-01-01,98,into the night,santana featuring chad kroeger,
2008-01-01,99,heaven sent,keyshia cole,female
2008-01-01,100,she got it,2 pistols featuring tpain and tay dizm,
2009-01-01,1,boom boom pow,the black eyed peas,
2009-01-01,2,poker face,lady gaga,female
2009-01-01,3,just dance,lady gaga featuring colby odonis,
2009-01-01,4,i gotta feeling,the black eyed peas,
2009-01-01,5,love story,taylor swift,female
2009-01-01,6,right round,flo rida,male
2009-01-01,7,im yours,jason mraz,male
2009-01-01,8,single ladies put a ring on it,beyonce,female
2009-01-01,9,heartless,kanye west,male
2009-01-01,10,gives you hell,the allamerican rejects,
2009-01-01,11,you belong with me,taylor swift,female
2009-01-01,12,dead and gone,ti featuring justin timberlake,
2009-01-01,13,you found me,the fray,
2009-01-01,14,use somebody,kings of leon,
2009-01-01,15,knock you down,keri hilson featuring kanye west and neyo,
2009-01-01,16,blame it,jamie foxx featuring tpain,
2009-01-01,17,i know you want me calle ocho,pitbull,
2009-01-01,18,live your life,ti featuring rihanna,
2009-01-01,19,kiss me thru the phone,soulja boy tell em featuring sammie,
2009-01-01,20,down,jay sean featuring lil wayne,
2009-01-01,21,the climb,miley cyrus,female
2009-01-01,22,best i ever had,drake,male
2009-01-01,23,my life would suck without you,kelly clarkson,female
2009-01-01,24,halo,beyonce,female
2009-01-01,25,hot n cold,katy perry,female
2009-01-01,26,second chance,shinedown,
2009-01-01,27,circus,britney spears,female
2009-01-01,28,day n nite,kid cudi,male
2009-01-01,29,party in the usa,miley cyrus,female
2009-01-01,30,dont trust me,3oh3,
2009-01-01,31,run this town,jayz featuring rihanna and kanye west,
2009-01-01,32,let it rock,kevin rudolf featuring lil wayne,
2009-01-01,33,fire burning,sean kingston,male
2009-01-01,34,whatcha say,jason derulo,male
2009-01-01,35,lovegame,lady gaga,female
2009-01-01,36,waking up in vegas,katy perry,female
2009-01-01,37,birthday sex,jeremih,male
2009-01-01,38,sober,pink,female
2009-01-01,39,womanizer,britney spears,female
2009-01-01,40,whatever you like,ti,male
2009-01-01,41,obsessed,mariah carey,female
2009-01-01,42,mad,neyo,male
2009-01-01,43,good girls go bad,cobra starship featuring leighton meester,
2009-01-01,44,love lockdown,kanye west,male
2009-01-01,45,so what,pink,female
2009-01-01,46,hotel room service,pitbull,
2009-01-01,47,crack a bottle,eminem dr dre and 50 cent,
2009-01-01,48,if i were a boy,beyonce,female
2009-01-01,49,turnin me on,keri hilson featuring lil wayne,
2009-01-01,50,i hate this part,pussycat dolls,
2009-01-01,51,gotta be somebody,nickelback,
2009-01-01,52,please dont leave me,pink,female
2009-01-01,53,paparazzi,lady gaga,female
2009-01-01,54,beautiful,akon featuring colby odonis and kardinal offishall,
2009-01-01,55,viva la vida,coldplay,
2009-01-01,56,right now na na na,akon,male
2009-01-01,57,battlefield,jordin sparks,female
2009-01-01,58,sugar,flo rida featuring wynter gordon,
2009-01-01,59,miss independent,neyo,male
2009-01-01,60,fireflies,owl city,
2009-01-01,61,new divide,linkin park,
2009-01-01,62,empire state of mind,jayz and alicia keys,
2009-01-01,63,no surprise,daughtry,
2009-01-01,64,she wolf,shakira,
2009-01-01,65,break up,mario featuring gucci mane and sean garrett,
2009-01-01,66,sweet dreams,beyonce,female
2009-01-01,67,every girl,young money,
2009-01-01,68,fallin for you,colbie caillat,female
2009-01-01,69,untouched,the veronicas,
2009-01-01,70,if today was your last day,nickelback,
2009-01-01,71,throw it in the bag,fabolous featuring thedream,
2009-01-01,72,love drunk,boys like girls,
2009-01-01,73,i love college,asher roth,male
2009-01-01,74,if u seek amy,britney spears,female
2009-01-01,75,big green tractor,jason aldean,male
2009-01-01,76,white horse,taylor swift,female
2009-01-01,77,disturbia,rihanna,female
2009-01-01,78,21 guns,green day,
2009-01-01,79,turn my swag on,soulja boy tell em,
2009-01-01,80,rockin that thang,thedream,male
2009-01-01,81,chicken fried,zac brown band,
2009-01-01,82,diva,beyonce,female
2009-01-01,83,replay,iyaz,
2009-01-01,84,then,brad paisley,male
2009-01-01,85,her diamonds,rob thomas,male
2009-01-01,86,how do you sleep,jesse mccartney featuring ludacris,
2009-01-01,87,3,britney spears,female
2009-01-01,88,forever,drake featuring kanye west lil wayne and eminem,
2009-01-01,89,one time,justin bieber,male
2009-01-01,90,i run to you,lady antebellum,
2009-01-01,91,i do not hook up,kelly clarkson,female
2009-01-01,92,green light,john legend featuring andre 3000,
2009-01-01,93,people are crazy,billy currington,male
2009-01-01,94,whatever it is,zac brown band,
2009-01-01,95,already gone,kelly clarkson,female
2009-01-01,96,goodbye,kristinia debarge,female
2009-01-01,97,say hey i love you,michael franti  spearhead featuring cherine anderson,
2009-01-01,98,pop champagne,jim jones featuring ron browz and juelz santana,
2009-01-01,99,pretty wings,maxwell,male
2009-01-01,100,never say never,the fray,
2010-01-01,1,tik tok,keha,
2010-01-01,2,need you now,lady antebellum,
2010-01-01,3,hey soul sister,train,
2010-01-01,4,california gurls,katy perry featuring snoop dogg,
2010-01-01,5,omg,usher featuring william,
2010-01-01,6,airplanes,bob featuring hayley williams,
2010-01-01,7,love the way you lie,eminem featuring rihanna,
2010-01-01,8,bad romance,lady gaga,female
2010-01-01,9,dynamite,taio cruz,male
2010-01-01,10,break your heart,taio cruz featuring ludacris,
2010-01-01,11,nothin on you,bob featuring bruno mars,
2010-01-01,12,i like it,enrique iglesias featuring pitbull,
2010-01-01,13,bedrock,young money featuring lloyd,
2010-01-01,14,in my head,jason derulo,male
2010-01-01,15,rude boy,rihanna,female
2010-01-01,16,telephone,lady gaga featuring beyonce,
2010-01-01,17,teenage dream,katy perry,female
2010-01-01,18,just the way you are,bruno mars,male
2010-01-01,19,cooler than me,mike posner,male
2010-01-01,20,imma be,the black eyed peas,
2010-01-01,21,empire state of mind,jayz and alicia keys,
2010-01-01,22,dj got us fallin in love,usher featuring pitbull,
2010-01-01,23,billionaire,travie mccoy featuring bruno mars,
2010-01-01,24,not afraid,eminem,male
2010-01-01,25,replay,iyaz,
2010-01-01,26,sexy bitch,david guetta featuring akon,
2010-01-01,27,breakeven,the script,
2010-01-01,28,your love is my drug,keha,
2010-01-01,29,i gotta feeling,the black eyed peas,
2010-01-01,30,fireflies,owl city,
2010-01-01,31,say aah,trey songz featuring fabolous,
2010-01-01,32,find your love,drake,male
2010-01-01,33,alejandro,lady gaga,female
2010-01-01,34,ridin solo,jason derulo,male
2010-01-01,35,just a dream,nelly,male
2010-01-01,36,how low,ludacris,male
2010-01-01,37,like a g6,far east movement featuring the cataracs and dev,
2010-01-01,38,carry out,timbaland featuring justin timberlake,
2010-01-01,39,havent met you yet,michael buble,male
2010-01-01,40,club cant handle me,flo rida featuring david guetta,
2010-01-01,41,down,jay sean featuring lil wayne,
2010-01-01,42,bulletproof,la roux,
2010-01-01,43,whatcha say,jason derulo,male
2010-01-01,44,baby,justin bieber featuring ludacris,
2010-01-01,45,whataya want from me,adam lambert,male
2010-01-01,46,mine,taylor swift,female
2010-01-01,47,only girl in the world,rihanna,female
2010-01-01,48,live like were dying,allen kriskris allen,
2010-01-01,49,hard,rihanna featuring jeezy,
2010-01-01,50,young forever,jayz featuring mr hudson,
2010-01-01,51,blah blah blah,keha featuring 3oh3,
2010-01-01,52,bottoms up,trey songz featuring nicki minaj,
2010-01-01,53,do you remember,jay sean featuring sean paul and lil jon,
2010-01-01,54,all the right moves,onerepublic,
2010-01-01,55,according to you,orianthi,female
2010-01-01,56,my chick bad,ludacris featuring nicki minaj,
2010-01-01,57,you belong with me,taylor swift,female
2010-01-01,58,meet me halfway,the black eyed peas,
2010-01-01,59,take it off,keha,
2010-01-01,60,over,drake,male
2010-01-01,61,animal,neon trees,
2010-01-01,62,misery,maroon 5,
2010-01-01,63,magic,bob featuring rivers cuomo,
2010-01-01,64,paparazzi,lady gaga,female
2010-01-01,65,tie me down,new boyz featuring ray j,
2010-01-01,66,your love,nicki minaj,female
2010-01-01,67,party in the usa,miley cyrus,female
2010-01-01,68,deuces,chris brown featuring tyga and kevin mccall,
2010-01-01,69,3,britney spears,female
2010-01-01,70,impossible,shontelle,
2010-01-01,71,forever,drake featuring kanye west lil wayne and eminem,
2010-01-01,72,two is better than one,boys like girls featuring taylor swift,
2010-01-01,73,my first kiss,3oh3 featuring keha,
2010-01-01,74,already gone,kelly clarkson,female
2010-01-01,75,rock that body,the black eyed peas,
2010-01-01,76,secrets,onerepublic,
2010-01-01,77,naturally,selena gomez  the scene,
2010-01-01,78,unthinkable im ready,alicia keys,female
2010-01-01,79,all i do is win,dj khaled featuring tpain ludacris snoop dogg and rick ross,
2010-01-01,80,i made it cash money heroes,kevin rudolf featuring birdman jay sean and lil wayne,
2010-01-01,81,stuck like glue,sugarland,
2010-01-01,82,hey daddy daddys home,usher featuring plies,
2010-01-01,83,there goes my baby,usher,male
2010-01-01,84,today was a fairytale,taylor swift,female
2010-01-01,85,say something,timbaland featuring drake,
2010-01-01,86,sweet dreams,beyonce,female
2010-01-01,87,use somebody,kings of leon,
2010-01-01,88,undo it,carrie underwood,female
2010-01-01,89,eenie meenie,sean kingston and justin bieber,
2010-01-01,90,right above it,lil wayne featuring drake,
2010-01-01,91,the house that built me,miranda lambert,female
2010-01-01,92,if i die young,the band perry,
2010-01-01,93,the only exception,paramore,
2010-01-01,94,american honey,lady antebellum,
2010-01-01,95,king of anything,sara bareilles,female
2010-01-01,96,life after you,daughtry,
2010-01-01,97,smile,uncle kracker,male
2010-01-01,98,teach me how to dougie,cali swag district,
2010-01-01,99,try sleeping with a broken heart,alicia keys,female
2010-01-01,100,lover lover,jerrod niemann,male
2011-01-01,1,rolling in the deep,adele,female
2011-01-01,2,party rock anthem,lmfao featuring lauren bennett and goonrock,
2011-01-01,3,firework,katy perry,female
2011-01-01,4,et,katy perry featuring kanye west,
2011-01-01,5,give me everything,pitbull featuring neyo afrojack and nayer,
2011-01-01,6,grenade,bruno mars,male
2011-01-01,7,fuck you,cee lo green,
2011-01-01,8,super bass,nicki minaj,female
